0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:48:59 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/displayblog.html HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:46 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:46 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:46 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:46 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:46 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:46 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:46 +0530] "GET /project2/displayblog.html HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:49 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:49 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:49 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:49 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:49 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:49 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:49 +0530] "GET /project2/displayblog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:53 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:53 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:11 +0530] "GET /project2/index.html HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:12 +0530] "GET /project2/app.js HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:12 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:12 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:12 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:12 +0530] "GET /project2/services/userservice.js HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:13 +0530] "GET /project2/displayblog.html HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:13 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:13 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:50:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:40 +0530] "GET /project2/index.html HTTP/1.1" 304 -
