127.0.0.1 - - [21/Mar/2018:15:37:47 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:37:49 +0530] "GET /project2/index.html HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:37:50 +0530] "GET /project2/app.js HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:37:50 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:37:50 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:37:50 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:38:27 +0530] "GET /project2/index.html HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:38:28 +0530] "GET /project2/app.js HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:38:28 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:38:28 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:38:28 +0530] "GET /project2/services/userservice.js HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:38:28 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:38:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:41:31 +0530] "GET /project2/index.html HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:41:31 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:41:33 +0530] "GET /project2/opened(userlogged) HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:42:01 +0530] "GET /project2/index.html HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:42:03 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:42:03 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:42:03 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:42:03 +0530] "GET /project2/services/userservice.js HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:42:03 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2018:15:43:32 +0530] "GET /project2/index.html HTTP/1.1" 200 3181
